EntryNumber,AdID,FileName,StartDate,Time,Zone,EndDate,Impressions,Clicks,Spent,AdText,ImageText,HashTags,AdLandingPage,CustomIncludes,Junk,AT_Placements,AT_Age,AT_Location_Country,AT_Location_State,AT_Location_City,AT_Language,AT_Loose,AT_Gender,AT_PM_All,AT_PM_Behaviors,AT_PM_FieldOfStudy,AT_PM_Politics,AT_PM_Interests,AT_PM_FriendsOfConnections,AT_PM_MulticulturalAffinity,AT_PM_PeopleWhoLike,AT_PM_Industry,AT_PM_Employers,AT_AM_All,AT_AM_Interests,AT_AM_Politics,AT_AM_Behaviors,AT_AM_MulticulturalAffinity,AT_AM_Industry,AT_AM_Employers,AT_EC_All,AT_EC_ExcludePeopleWhoLike,AT_EC_ExcludePeopleWhoAreGoingTo,AT_EX_All,AT_EX_MulticulturalAffinity,AT_EX_Behaviors,avgWordLength,EntryNumber:1,BlackCulture,BCVal,BlueLives,BLVal,Christian,ChristianVal,Clinton,ClintonVal,LatinX,LatinXVal,Immigration,ImmigrationVal,Constitution,ConstitutionVal,WhiteSupremacy,WSVal,LGBTQ,LGBTQVal,LiberalFeminism,LFVal,Media,MediaVal,Muslim,MuslimVal,NativeAmerican,NAVal,Patriot,PatriotVal,RedPill,RPVal,Refugees,RefugeesVal,Sanders,SandersVal,SecondAmendment,SAVal,Seperatist,SeperatistVal,SouthernCulture,SCVal,Syria,SyriaVal,Texas,TexasVal,Trump,TrumpVal,Veterans,VeteransVal,otherCandidates,OCVal,voterFraud,VFVal,voterMisdirection,VMVal,voterTurnoutSuppression,VTSVal
2924,2890,P(1)0005453.txt,2017/01/10,05:20:28 AM,EST,,0,0,0,Let's stand united to defend our faith as an army of Jesus! Army Of Jesus, P(1)0005453 Suggested Page Army of Jesus Sponsored Let's stand united to defend our faith as an army of Jesus! Army of Jesus Community                                                    .dr Like Page 217.226 people like this. P(1)0005454,,https://www.facebook.com/Army-of-Jesus-1 195795607160174/,,,NewsFeed_desktopcomputers; Rightcolumn_desktopcomputers,18 _ 65+,United States,,,,,,Interests: jesus love u or I Have Decided to Follow Jesus,,,,jesus love u ; I Have Decided to Follow Jesus,,,,,,Interests: Jesus,Jesus,,,,,,,,,,,,0,2924,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2925,2891,P(1)0005455.txt,2017/01/10,05:20:56 AM,EST,,163358,15590,34792.58,Let's stand united to defend our faith as an army of Jesus! Army Of Jesus, P(1)0005455 Suggested Page Army of Jesus Sponsored Let's stand united to defend our faith as an army of Jesus! Army of Jesus Community                                                    .dr Like Page 217.226 people like this. P(1)0005456,,https://www.facebook.com/Army-of-Jesus-1195795607160174/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,,,,,,Interests: jesus love u or I Have Decided to Follow Jesus,,,,jesus love u ; I Have Decided to Follow Jesus,,,,,,Interests: Jesus,Jesus,,,,,,,,,,,,0,2925,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2929,2895,P(1)0005463.txt,2016/10/18,07:11:04 AM,EDT,,0,0,0,America needs Jesus. today and every day. Join in our army of faithful!, P(1)0005463 Suggested Page Army of Jesus Sponsored America needs Jesus. today and every day. Join in our army of faithful! Army of Jesus Community                                                 tib Like Page 217.226 people like this. P(1)0005464,,https://www.facebook.com/Army-of-Jesus-I 195795607160174/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 24,United States,,,,,,Employers: Jesus Christ is my King,,,,,,,,,Jesus Christ is my King,,,,,,,,Exclude people who like Army of Jesus,Army of Jesus,,,,,0,2929,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,2898,P(1)0005467.txt,2017/04/19,10:28:05 AM,EDT,,0,0,0,The community of 2nd Amendment supporters. guns lovers & patriots Defend The 2nd, P(1)0005467 `'L'Wes'ed Page Defend the 2nd Sponsored The community of 2nd Amendment supporters. guns lovers & patriots Deferl'- Comrnun ty 96.954 people lice th s P(1)0005468,,https://www.facebook.com/savethe2a/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,,,,,Male,Interests: Right to keep and bear arms. AR-15. 2nd Amendment. Gun Owners of America. Second Amendment to the United States Constitution or Guns & Ammo,,,,Right to keep and bear arms; AR-15; 2nd Amendment; Gun Owners of America; Second Amendment to the United States Constitution ; Guns & Ammo,,,,,,Interests: The Second Amendment. Protect the Second Amendment. Preserve our right to keep and bear arms or Gun Rights. Politics: US politics (conservative),The Second Amendment. Protect the Second Amendment. Preserve our right to keep and bear arms or Gun Rights.,US politics (conservative),,,,,Exclude people who like Defend the 2nd,Defend the 2nd,,,,,0,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2932,2900,P(1)0005469.txt,2017/04/19,10:31:12 AM,EDT,,0,0,0,The community of 2nd Amendment supporters. guns lovers & patriots Defend The 2nd, P(1)0005469 `'L'Wes'ed Page Defend the 2nd Sponsored The community of 2nd Amendment supporters. guns lovers & patriots Deferl'- Comrnun ty 96.954 people lice th s P(1)0005470,,https://www.facebook.com/savethe2a/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,California; Illinois,,,,Male,Interests: The Second Amendment; Protect the Second Amendment; Anything About Guns. Protecting Your Gun Rights. God; Guns; & American Freedom. Preserve our right to keep and bear arms; Gun Rights. Guns & Weapons or Second Amendment Supporters. Politics: US politics (conservative),,,US politics (conservative),The Second Amendment; Protect the Second Amendment; Anything About Guns; Protecting Your Gun Rights; God; Guns; & American Freedom; Preserve our right to keep and bear arms; Gun Rights. Guns & Weapons ; Second Amendment Supp;ters;,,,,,,Interests: Right to keep and bear arms. AR-15; 2nd Amendment. Gun Owners of America or Guns & Ammo,Right to keep and bear arms. AR-15; 2nd Amendment. Gun Owners of America or Guns & Ammo,,,,,,Exclude people who like Defend the 2nd,Defend the 2nd,,,,,0,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2933,2901,P(1)0005471.txt,2017/04/19,10:32:00 AM,EDT,,0,0,0,The community of 2nd Amendment supporters. guns lovers & patriots Defend The 2nd, P(1)0005471 `'L'Wes'ed Page Defend the 2nd Sponsored The community of 2nd Amendment supporters. guns lovers & patriots Deferl'- Comrnun ty 96.954 people lice th s P(1)0005472,,https://www.facebook.com/savethe2a/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,California; Illinois,,,,Male,Interests: The Second Amendment; Protect the Second Amendment; Anything About Guns. Protecting Your Gun Rights. God; Guns; & American Freedom. Preserve our right to keep and bear arms; Gun Rights. Guns & Weapons or Second Amendment Supporters. Politics: US politics (conservative),,,US politics (conservative),The Second Amendment; Protect the Second Amendment; Anything About Guns; Protecting Your Gun Rights; God; Guns; & American Freedom; Preserve our right to keep and bear arms; Gun Rights. Guns & Weapons ; Second Amendment Supp;ters;,,,,,,Interests: AR-15. 2nd Amendment. Gun Owners of America or Guns & Ammo,AR-15. 2nd Amendment. Gun Owners of America or Guns & Ammo,,,,,,Exclude people who like Defend the 2nd,Defend the 2nd,,,,,0,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2934,2902,P(1)0005473.txt,2017/04/19,10:33:25 AM,EDT,,0,0,0,The community of 2nd Amendment supporters. guns lovers & patriots Defend The 2nd, P(1)0005473 `'L'Wes'ed Page Defend the 2nd Sponsored The community of 2nd Amendment supporters. guns lovers & patriots Deferl'- Comrnun ty 96.954 people lice th s P(1)0005474,,https://www.facebook.com/savethe2a/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,California; Illinois,,,,Male,Interests: The Second Amendment; Protect the Second Amendment; Anything About Guns. Protecting Your Gun Rights. God; Guns; & American Freedom. Preserve our right to keep and bear arms; Gun Rights. Guns & Weapons or Second Amendment Supporters. Politics: US politics (conservative),,,US politics (conservative),The Second Amendment; Protect the Second Amendment; Anything About Guns; Protecting Your Gun Rights; God; Guns; & American Freedom; Preserve our right to keep and bear arms; Gun Rights. Guns & Weapons ; Second Amendment Supp;ters;,,,,,,Interests: AR-15. 2nd Amendment. National Rifle Association or Gun Owners of America,AR-15. 2nd Amendment. National Rifle Association or Gun Owners of America,,,,,,Exclude people who like Defend the 2nd,Defend the 2nd,,,,,0,2934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2935,2903,P(1)0005475.txt,2017/04/19,10:35:22 AM,EDT,,0,0,0,The community of 2nd Amendment supporters. guns lovers & patriots Defend The 2nd, P(1)0005475 `'L'Wes'ed Page Defend the 2nd Sponsored The community of 2nd Amendment supporters. guns lovers & patriots Deferl'- Comrnun ty 96.954 people lice th s P(1)0005476,,https://www.facebook.com/savethe2a/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,California; Illinois,,,,Male,Interests: The Second Amendment. Protect the Second Amendment. Anything About Guns. Protecting Your Gun Rights. God. Guns. & American Freedom. Preserve our right to keep and bear arms. Gun Rights. Guns & Weapons or Second Amendment Supporters. Politics: US politics (conservative),,,US politics (conservative),The Second Amendment; Protect the Second Amendment; Anything About Guns; Protecting Your Gun Rights; God; Guns; & American Freedom; Preserve our right to keep and bear arms; Gun Rights; Guns & Weapons ; Second Amendment Supp;ters;,,,,,,Interests: 2nd Amendment or National Rifle Association,2nd Amendment or National Rifle Association,,,,,,Exclude people who like Defend the 2nd,Defend the 2nd,,,,,0,2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2936,2905,P(1)0005477.txt,2017/04/19,10:36:54 AM,EDT,,0,0,0,The community of 2nd Amendment supporters. guns lovers & patriots Defend The 2nd, P(1)0005477 `'L'Wes'ed Page Defend the 2nd Sponsored The community of 2nd Amendment supporters. guns lovers & patriots Deferl'- Comrnun ty 96.954 people lice th s P(1)0005478,,https://www.facebook.com/savethe2a/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,California; Illinois,,,,Male,Interests: The Second Amendment; Protect the Second Amendment; Protecting Your Gun Rights; God. Guns. & American Freedom ; Preserve our right to keep and bear arms or Second Amendment Supporters,,,,The Second Amendment; Protect the Second Amendment; Protecting Your Gun Rights; God. Guns; & American Freedom ; Preserve our right to keep and bear arms ; Second Amendment Supp;ters,,,,,,Interests: 2nd Amendment. National Rifle Association or National Association for Gun Rights,2nd Amendment. National Rifle Association or National Association for Gun Rights,,,,,,Exclude people who like Defend the 2nd,Defend the 2nd,,,,,0,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2937,2906,P(1)0005479.txt,2017/04/19,10:37:37 AM,EDT,,0,0,0,The community of 2nd Amendment supporters. guns lovers & patriots Defend The 2nd, P(1)0005479 `'L'Wes'ed Page Defend the 2nd Sponsored The community of 2nd Amendment supporters. guns lovers & patriots Deferl'- Comrnun ty 96.954 people lice th s P(1)0005480,,https://www.facebook.com/savethe2a/,,,NewsFeed_desktopcomputers.NewsFeed_mobiledevices; Rightcolumn_desktopcomputers,18 _ 65+,United States,California; Illinois,,,,Male,Interests: The Second Amendment. Protect the Second Amendment. Protecting Your Gun Rights. God. Guns. & American Freedom. Preserve our right to keep and bear arms or Second Amendment Supporters,,,,The Second Amendment; Protect the Second Amendment; Protecting Your Gun Rights; God; Guns; & American Freedom; Preserve our right to keep and bear arms ; Second Amendment Supp;ters,,,,,,Interests: Right to keep and bear arms. 2nd Amendment. National Rifle Association. Gun Owners of America. Second Amendment to the United States Constitution. Concealed carry in the United States. National Association for Gun Rights or Guns & Ammo,Right to keep and bear arms. 2nd Amendment. National Rifle Association. Gun Owners of America. Second Amendment to the United States Constitution. Concealed carry in the United States. National Association for Gun Rights or Guns & Ammo,,,,,,Exclude people who like Defend the 2nd,Defend the 2nd,,,,,0,2937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
